id,ideia,categoria,descricao,paises,links,preco_observado,n_anunciantes,dias_anuncio_ativo_mais_antigo,variacoes_max,contagem_busca,saturacao_es_vs_pt,angulo_anuncio,sinais,eliminatoria_suspeita_fase1,fontes,eliminada,motivo_eliminacao,links_busca_adlibrary
L30,"Receituário de velas, sabonetes e aromas artesanais (difusores, home spray) com calculadora e fornecedores",Artesanato em PDF,"Megaebook de velas de soja, sabonetes e bath bombs, ou guia para criar a própria linha de aromas (fórmulas, custos, embalagem e marca), com calculadora de preço, rótulos e lista de fornecedores.","CO, MX, AR, CL, UY, US",https://www.facebook.com/ads/library/?id=948666801622176 | https://www.facebook.com/ads/library/?id=28335327712804234 | https://www.facebook.com/ads/library/?id=904126129231495 | https://hotmart.com/es/marketplace/productos/hagsxd-megaebook-velas-y-jabones-artesanales-aroma-y-glow-kscxu/V100266138S | https://pay.hotmart.com/J99674018O | https://pay.hotmart.com/H98036488O | https://www.facebook.com/ads/library/?id=1347787477182417 | https://www.facebook.com/ads/library/?id=1653911773135551 | https://www.facebook.com/ads/library/?id=2045314379433998 | https://www.facebook.com/ads/library/?id=1103514262136711 | https://hotmart.com/es/marketplace/productos/aromas-artesanales-pro/R97302961W | https://hotmart.com/es/marketplace/productos/difusores-de-aromas/C101383420C,"US$5,99–15 (Hotmart); MXN 99; curso US$148; aromas não verificado",6 (velas e sabonetes); 4 (aromas),"3,8 (velas); 0,9 (aromas)",33 (produto incerto); 14 nos aromas,'velas artesanales' = 1.691; 'jabones artesanales' = 1.236; 'velas artesanales emprender' = 253; aromas sem busca dedicada (achado lateral),ES: dominada por cursos.,"Renda em casa, margem e prova social","Ana Moraes mostra '2,178 reseñas'. Richard Delgado tem 33 anúncios multilíngues, com produto incerto. A Hotmart tem 11 produtos, a maioria curso. Nos aromas, Florencia Moreira tem 14 anúncios, 'Método Aroma Queen' e '739 Reseñas', com ângulos variados ('Cuesta un delivery. Se vende caro'). Fundida com a antiga L31 (linha de aromas).",E1 forte no território. E2 moderada.,meta_artesanato_recetas_proveedores_templates_ES; fase1_hotmart_es,não,"Do jeito descrito (megaebook PDF com fórmulas, calculadora, rótulos e fornecedores), não depende de expert gravando e já é vendido a US$6–15. O E1 só atinge os concorrentes que vendem curso (Aroma Queen). Ângulo honesto: mostrar as velas e aromas e as fórmulas prontas. Cuidados: evitar o gancho 'se vende caro'; sabonete com soda precisa de fórmula testada.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=velas%20artesanales&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=jabones%20artesanales&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=velas%20artesanales%20emprender&search_type=keyword_unordered
L32,"Kit de designs, etiquetas e posts para revendedoras de catálogo (Natura, Ésika, Yanbal)",Kit de marca para microrrevendedora,"Centenas de artes editáveis (etiquetas, cartões, posts, embalagem) com o nome da revendedora.",US em USD; país-alvo não verificado,https://www.facebook.com/ads/library/?id=2156814638591939 | https://www.facebook.com/ads/library/?id=1107576018528128 | https://www.facebook.com/ads/library/?id=28424810203849809 | https://www.facebook.com/ads/library/?id=1809879140010178,não verificado,3,"0,3 (lançamento)",10 (68 com oferta incerta),'diseños para revendedoras' = 177 (ruído); 'plantillas para revendedoras' = 2,ES pouco explorada.,Produto para um público específico,"Sello Propio lançou 10 variações hoje ('360 Diseños - Revendedoras Natura'). Lola Detalles tem 68 anúncios, com oferta incerta.",Risco de marca registrada. Evidência de longevidade fraca.,fase1_meta_kits; meta_artesanato_recetas_proveedores_templates_ES,não,"Kit de templates editáveis com custo zero, que se demonstra na tela sem prometer renda. Há dois riscos fora das E1–E5. Primeiro, citar Natura, Ésika ou Yanbal no produto ou no anúncio (personificação de marca na Meta); usar 'para revendedoras de catálogo', sem logos. Segundo, o público vem de venda direta, em parte multinível.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=dise%C3%B1os%20para%20revendedoras&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=plantillas%20para%20revendedoras&search_type=keyword_unordered
L33,"Pack de templates Canva para empreendedoras (posts, lista de preços, catálogo WhatsApp)",Templates para pequenos negócios,"Centenas de templates para redes sociais, lista de preços e catálogo, prontos para o negócio da compradora.","MX, CO, AR, CL, PE, UY",https://pay.hotmart.com/K103856475B | https://pay.hotmart.com/K102983255Y | https://pay.hotmart.com/L105358969Y | https://pay.hotmart.com/Y105449623O,US$5–11,6,"4,2",12,'plantillas editables' = 1.635; 'plantillas canva para emprendedoras' = 77,ES saturada.,Ferramenta,"A Hotmart tem ~15 produtos. Bendiciones creativas tem 55 anúncios, com produto incerto; a mesma página aparece na busca 'escuela dominical' (ver L57).",E4 parcial (InstaPremium vende direito de revenda). Saturado.,fase1_hotmart_es,não,"Pack de templates é entregável pronto, com custo zero e anúncio de ferramenta. O E4 observado vem de um só concorrente que vende direito de revenda; basta não vender MRR. Saturação fica para a Fase 3. Ângulo duplo: usar no próprio pequeno negócio e prestar serviço de design a terceiros.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=plantillas%20editables&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=plantillas%20canva%20para%20emprendedoras&search_type=keyword_unordered
L34,"Posts prontos no Canva por nicho profissional (psicóloga, nutricionista, veterinária)",Pack editável B2B,"Posts, stories e folders editáveis para uma profissão específica.",BR; ES só com ferramentas clínicas,https://www.facebook.com/ads/library/?id=1597858968452709 | https://www.facebook.com/ads/library/?id=2112279149415390 | https://www.facebook.com/ads/library/?id=1787972685872438,"BR R$59,90",5,"10,3 (BR)",14,BR 'pack canva' = 1.265; ES 'plantillas para psicólogos' = 43,ES pouco explorada.,Economia de tempo,"Pack Canva Para Você tem 14 anúncios. Na ES, os anunciantes vendem ferramentas clínicas, não posts (esse cluster está no L62).",E2 leve. Pouco impulso. Validação BR fraca.,brasil_espelho,sim (E0),"Posts para a psicóloga ou nutricionista divulgar o próprio consultório são recurso para a própria clínica, fora do nicho renda extra. Não foi observado ângulo de revenda nem de serviço.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=pack%20canva&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=plantillas%20para%20psic%C3%B3logos&search_type=keyword_unordered
L35,"Diretório de fornecedores de nicho (extensões, limpeza, atacado)",Diretório,PDF ou planilha com fornecedores verificados de um nicho.,"US, MX, CL",https://www.facebook.com/ads/library/?id=1409222934466487 | https://www.facebook.com/ads/library/?id=1117082450653946 | https://www.facebook.com/ads/library/?id=28633064256323286 | https://hotmart.com/pt-br/marketplace/produtos/lista-completa-secreta-de-fornecedores/C83336741X,não verificado,3,"3,5",5,'directorio de proveedores' = 116; 'proveedores China' = 1.508,Forte só em PT-BR (Hotmart).,Margem e acesso,O sinal é fraco em ES. 'proveedores China' é dominado por cursos de importação.,E2 forte. E3 (manutenção da lista). E1 no caminho de importação.,meta_artesanato_recetas_proveedores_templates_ES,sim (E2),"Uma lista de fornecedores só vale pela margem de revenda ('compra barato, revende caro'). Não há o que demonstrar na tela para gerar compra por impulso sem prometer ganho. Risco ALTO na Meta e na Hotmart (compilação de informação pública conta como baixo valor), e a lista desatualiza e gera reembolso.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=directorio%20de%20proveedores&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=proveedores%20China&search_type=keyword_unordered
L36,Kit de menu digital QR para revender a restaurantes,Kit de revenda B2B (ferramenta),Cardápio web com QR e pedidos pelo WhatsApp. O comprador instala em restaurantes e cobra instalação ou mensalidade.,"MX, AR, CO, PE",https://www.facebook.com/ads/library/?id=2161817697787903 | https://www.facebook.com/ads/library/?id=1834916980858375 | https://www.facebook.com/ads/library/?id=1467921485204409 | https://hotmart.com/es/marketplace/productos/menu-app-qr-para-restaurantes/D64832885T | https://hotmart.com/es/marketplace/productos/carta-virtual/V68221977S,"US$6,99 (LX Diseño Web); MXN 1.500 pagamento único",12 (majoritariamente SaaS ou agências),não verificado,3,'menú digital QR' = 169,não verificado,O SaaS vende a ferramenta; o kit venderia ganho.,Os anunciantes são quase todos SaaS B2B. A Hotmart tem pelo menos 3 kits.,E2 (o revendedor só compra pela renda). E3 (suporte ao restaurante).,fase1_meta_servicos,sim (E2),"O revendedor só compra pela renda de cobrar instalação ou mensalidade de restaurantes; a Fase 1 registrou que 'o SaaS vende a ferramenta; o kit venderia ganho'. O anúncio honesto de ferramenta atrai o dono do restaurante (uso próprio), não o revendedor. Ainda exige suporte contínuo a terceiros.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=men%C3%BA%20digital%20QR&search_type=keyword_unordered
L37,Cartão digital de fidelidade ou de visita para revender a pequenos negócios,Ferramenta/kit de revenda B2B,"Cartão digital de pontos, cupons ou cashback que o comprador configura para salões e cafés e cobra por negócio.","CO, MX, PE",https://www.facebook.com/ads/library/?id=3985839308219013 | https://www.facebook.com/ads/library/?id=2045164033029052 | https://pay.hotmart.com/A70446027R,GW Loyalty MXN 999/mês (SaaS); kit não verificado,5,"61,9 (Educacion nexus, página multi-oferta)",24,'tarjeta digital de cumpleaños' = 66 (ruído),não verificado,Ferramenta e ganho,"Educacion nexus tem 24 anúncios e testa várias ofertas. Há SaaS concorrentes (VAOZ, Vol Loyalty).",E2. E3 (suporte B2B).,fase1_meta_servicos,sim (E2),"Kit de revenda B2B: a compra só se justifica pela renda de cobrar de salões e cafés (anúncio observado: 'ferramenta e ganho'), contra SaaS já estabelecidos. Além disso, um sistema de pontos ativo em cada comércio traz operação e suporte contínuos (E3).",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=tarjeta%20digital%20de%20cumplea%C3%B1os&search_type=keyword_unordered
L38,Canção personalizada com IA (formulário vira música com nome e história),Produto personalizado B2C (IA),"Nome, ocasião, gênero musical e história viram um MP3 em minutos. Bumps: vídeo com letra, segundo gênero, PDF.","CO, MX, CL, AR, US; BR",https://www.facebook.com/ads/library/?id=1309304448042711 | https://www.facebook.com/ads/library/?id=2430569147437021 | https://www.facebook.com/ads/library/?id=1652343506902718 | https://www.facebook.com/ads/library/?id=1111863218428916 | https://cancioname.com/ | https://www.cantale.mx/,"US$15–39 (MX$279; Songoven US$20; GiftSong US$35); BR R$5,99–29,90",18,101 (Cántale MX),157,'canción personalizada' = 4.003–4.235; 'canciones con IA' = 205; BR 'música personalizada' = 3.333,Saturada nas duas línguas.,Presente emocional,"Diego Hernandez tem 151 anúncios. Alimenta tu Vida tem 157, no modelo de pagar depois. DedicatieMuzicala tem 34 anúncios multilíngues.",E3 (custo de API e atendimento humano). Risco de licença Suno/Udio. E1 nos cursos de 'vender canciones con IA' (registrados no L65).,fase1_meta_servicos; brasil_espelho,sim (E0),"Canção de presente é produto B2C de uso próprio, fora do nicho renda extra; a versão de renda ('vender canciones con IA') é curso (L65, E1). Custo anotado: cerca de US$0,05–0,20 por música via API não oficial do Suno, com risco de licença e atendimento para ajustar a letra (E3 parcial).",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=canci%C3%B3n%20personalizada&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=canciones%20con%20IA&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=m%C3%BAsica%20personalizada&search_type=keyword_unordered
L39,Livro/conto infantil personalizado com IA (digital e instantâneo),Presente personalizado (IA),"Nome e foto viram um conto ilustrado (PDF, flipbook ou vídeo) com a criança como protagonista. Bumps: narração, segundo conto, versão para impressão.","US, BR; ES: MX, UY, CO, PE",https://www.facebook.com/ads/library/?id=1756985529330960 | https://www.facebook.com/ads/library/?id=1095623402814655 | https://www.facebook.com/ads/library/?id=1360738943787467 | https://www.facebook.com/ads/library/?id=1105655501880438 | https://www.facebook.com/ads/library/?id=1376815594637808 | https://cuentoconlaia.com/,"3,99€ (cuentoconlaia); R$29,90 (ImaginaCuentos); €6,99",17,"75,6 (BR); ES 60 (MiBook, provável físico)",416 (Tell My Tale),'cuento personalizado' = 1.240–1.339 (ruído); ES 'libro personalizado' niño protagonista = 15; BR 'livro personalizado' = 888; US 'personalized storybook' = 675,ES média: o digital instantâneo low ticket é pouco visto.,Emoção ('Él será uno de ellos'),"Tell My Tale tem 416 anúncios, mas 0 em MX/CO/AR/CL/PE. No BR, Sua Historinha tem 95. Mi Cuento Infantil tem 25 anúncios há 43,3 d. Na ES há pelo menos 5 geradores web.",E3 leve (custo de imagem). E5 moderada (consistência do personagem). PI com personagens.,fase1_meta_servicos; brasil_espelho; fase1_global,sim (E0),"Conto com a criança como protagonista é material para o próprio filho ou presente, fora do escopo. Custo anotado: 12–15 ilustrações com personagem consistente, cerca de US$0,40–0,80 por pedido, mais TTS de centavos. Cabe no ticket, mas refazer imagens e manter o personagem consistente pesam em E5.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=cuento%20personalizado&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=libro%20personalizado&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=livro%20personalizado&search_type=keyword_unordered
L40,"Sessão de fotos com IA a partir de selfies (aniversário, formatura, XV)",Serviço automatizado por IA,De 3 a 10 selfies viram de 10 a 40 fotos temáticas com cara de estúdio.,"MX, CO, PE, AR, US (muitos operadores BR)",https://www.facebook.com/ads/library/?id=2336463247095806 | https://www.facebook.com/ads/library/?id=1097273206598018 | https://www.facebook.com/ads/library/?id=1238647358439864 | https://www.facebook.com/ads/library/?id=1579086490354447 | https://aiselfi.es/sesion-de-fotos-con-ia | https://www.fotosconia.ai/,"US$29–39 (AI Selfi); BR a partir de R$10,90",16,"9,8",54,'sesión de fotos con IA' = 414–424; BR 'ensaio com IA' = 3.162,"Saturada, com a arbitragem PT→ES em curso.",Produto e resultado,"No BR, Marcos Studio IA tem 54 anúncios. Na ES, 10 ou mais anunciantes cobram em BRL. A onda é recente.",E3 (WhatsApp e API). Substituível pelo Gemini grátis. E4 (PLR).,fase1_meta_servicos; brasil_espelho,sim (E0),"Ensaio com IA a partir das próprias selfies é serviço B2C de uso próprio, fora do escopo. Também custa: 20–40 imagens preservando o rosto dão cerca de US$0,8–1,6 por pedido, mais refações e revisão manual (E3 limítrofe num ticket de US$5–10). O Gemini grátis substitui, e a versão renda extra no mercado é PLR (E4).",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=sesi%C3%B3n%20de%20fotos%20con%20IA&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=ensaio%20com%20IA&search_type=keyword_unordered
L41,"Arte com IA para quadros decorativos, pronta para imprimir",Pack de arte IA,"Pack de imagens em alta resolução por estilo, com opção de imagem sob medida.",MX,https://www.facebook.com/ads/library/?id=584841497159973 | https://www.facebook.com/ads/library/?id=899915708069358,"MXN 29 (~US$1,6); sob medida desde MXN 99",1,991 (Neurartica; pode ser anúncio esquecido),8,achado lateral ('mensaje de Santa Claus' = 24),não verificado,Produto,"Há um único anunciante longevo, com 8 anúncios.",E2 se vendido como revenda. Escala baixa.,fase1_meta_servicos,sim (E0),"O pack de arte IA é para a pessoa decorar a própria casa. O único anunciante vende quadro para uso próprio, e o 'sob medida desde MXN 99' ainda exige atendimento por pedido (E3 secundária). Não há ângulo de renda extra na forma observada.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=mensaje%20de%20Santa%20Claus&search_type=keyword_unordered
L42,Desenho ou caricatura a partir de foto (pessoa ou casal) com IA,Produto personalizado B2C,"Foto vira cartoon, aquarela ou pop art em minutos. Bump: versão para caneca ou impressão.","CO, MX, CL, PE",https://www.facebook.com/ads/library/?id=1113283544981176 | https://www.facebook.com/ads/library/?id=2202083827390612 | https://www.facebook.com/ads/library/?id=2446503752546737 | https://www.facebook.com/ads/library/?id=1960279147972400,US$10 (El arte del dibujo),6,"18,9 (Tu Caricatura)",4,'caricatura personalizada' = 44,não verificado,Presente e decoração,A demanda comprovada é majoritariamente física. A demanda pela versão digital pura não foi verificada.,E3 se o desenho for feito por artista humano.,fase1_meta_servicos,sim (E0),"É presente B2C: a pessoa compra a caricatura de si ou do casal para dar. A demanda comprovada é física (caneca, impressão), o que traz E3. A versão digital custa centavos de API (~US$0,02–0,05 por imagem), mas continua sendo de uso próprio.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=caricatura%20personalizada&search_type=keyword_unordered
L43,Retrato de pet com IA (digital e instantâneo),Presente personalizado (IA),"Foto do pet vira retratos em vários estilos (renascentista, aquarela, memorial).",US; na ES só artesãos,https://www.facebook.com/ads/library/?id=1651371953077138 | https://www.facebook.com/ads/library/?id=3235304540008955 | https://www.facebook.com/ads/library/?id=2264545904295079 | https://www.facebook.com/ads/library/?id=2750914958662858,US: não verificado; artesanal ES MXN 650,14 (a maioria POD físico),"2,4",6,US 'pet portrait' = 4.708; 'retrato mascota' = 201; 'retrato de tu mascota' = 177,ES: o digital não chegou.,Transformação da foto,Nos EUA o digital é novo: Pawnted tem 6 anúncios e Wag'n'Tails 5. Na ES não há oferta digital.,E3 baixa. Estilo genérico.,fase1_global; fase1_meta_servicos,sim (E0),"É presente ou memorial do próprio pet, um produto B2C de uso próprio. O custo de IA (~US$0,02–0,05 por estilo) não elimina, mas a ideia está fora do escopo de renda extra.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=pet%20portrait&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=retrato%20mascota&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=retrato%20de%20tu%20mascota&search_type=keyword_unordered
L44,CV/currículum pronto (templates e gerador com IA),Entregável pronto,"CV em espanhol com textos prontos por profissão. Bumps: carta de apresentação, perfil de LinkedIn.","PE, AR, MX",https://www.facebook.com/ads/library/?id=1731701878026959 | https://www.facebook.com/ads/library/?id=1547192227425638,ARS 10.000 (serviço manual),6,"101,3 (CV perfecto)",2,'plantillas de currículum' = 26,não verificado,Produto ou serviço,A demanda na Meta é fraca.,E3 se for manual. DNA fraco.,fase1_meta_servicos,sim (E0),"O CV é para a própria busca de emprego, não para produzir ou revender. A oferta observada é serviço manual (ARS 10.000), o que também cairia em E3.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=plantillas%20de%20curr%C3%ADculum&search_type=keyword_unordered
L45,Vídeo personalizado do Papai Noel (Santa Claus),Presente personalizado sazonal,O Papai Noel fala o nome da criança e mostra a foto dela. Feito com template e voz IA.,BR validado; ES não verificado,https://www.facebook.com/ads/library/?id=2366097457137335 | https://www.facebook.com/ads/library/?id=1572262080463213,não verificado,4,"275,3 (status ACTIVE desde o Natal 2025)",24,BR = 39; ES 'video personalizado de Santa Claus' = 0,ES não verificada (fora de temporada).,Reação da criança,Recado do Noel tem 24 anúncios. Recadinho do Noel usa '10 Mil Pais Já Confiaram'.,Sazonal (nov–dez). E5 moderada.,brasil_espelho,sim (E0),"Os pais compram o vídeo do Noel para o próprio filho, com ângulo de reação da criança. É presente de uso próprio, sem ângulo de renda. O custo (voz TTS e render Remotion, centavos) e o MVP seriam viáveis.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=video%20personalizado%20de%20Santa%20Claus&search_type=keyword_unordered
L46,Molduras editáveis para photobooth,Pack B2B,Mais de 500 molduras editáveis para operadores de cabine de fotos.,BR; na ES 1 anunciante BR,https://www.facebook.com/ads/library/?id=4627474187578843 | https://www.facebook.com/ads/library/?id=1710483000052810,não verificado,2,"7,8",9,ES 'marcos para photobooth' = 7,ES pouco explorada.,Ganho,Cabine Lucrativa tem 9 anúncios.,E2 parcial. Nicho pequeno.,brasil_espelho,não,"Sobrevive. É um pack B2B para operador de cabine, que usa as molduras para prestar o serviço (dentro do escopo). Existe ângulo honesto de produto: 'marcos editables para XV, bodas, bautizos, cambia nombre y fecha en 2 min'. Não tem custo marginal e o MVP é trivial. Evitar o ângulo 'Cabine Lucrativa' (ganho), porque aspirante sem cabine cai em E2. O nicho pequeno fica para a Fase 3.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=marcos%20para%20photobooth&search_type=keyword_unordered
L47,Projetos prontos de serralheria e marcenaria,Pack digital,"Milhares de planos (portões, grades, móveis) para o profissional.","MX, CO (operadores BR)",https://www.facebook.com/ads/library/?id=1768623144465990 | https://www.facebook.com/ads/library/?id=1702414391440779 | https://www.facebook.com/ads/library/?id=1422614836733650,US$5–6; COP 10.000,5,"0,4",3,'proyectos de herrería' = 716 (ruído),Média.,Ganho e produtividade,Há anunciantes em BRL vendendo em ES.,E2. E4 (PLR).,brasil_espelho,sim (E5),"O valor está em 'milhares de planos' técnicos com medidas. O usuário, solo e sem domínio de serralheria ou CAD, não produz isso em 14 dias. Na prática esses packs são PLR ou compilação traduzida de operadores BR (risco de produto repetido ou pirata na Hotmart, perto de E4), com ângulo observado de ganho.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=proyectos%20de%20herrer%C3%ADa&search_type=keyword_unordered
L48,Pack PLR/MRR de produtos prontos para revender (incluindo o megapack de mini apps a 6U$D),PLR/MRR (sinalizar E4),"Ebooks, templates, mini apps e SaaS com direito de revenda. O valor está em revender o próprio pacote.","CO, MX, AR, CL, PE",https://www.facebook.com/ads/library/?id=2017628712528069 | https://www.facebook.com/ads/library/?id=4445339285736970 | https://www.facebook.com/ads/library/?id=2130482384464112 | https://www.facebook.com/ads/library/?id=2232442147328123 | https://pay.hotmart.com/G104996546M | https://pay.hotmart.com/P93374740Q,"US$3,99–497 (moda US$6)",8,"144,2 (Crea Y Multiplica Online)",10,'derechos de reventa' = 44,não verificado,Ganho e escassez,"O cluster 6U$D roda em 8 páginas com rotação. Emprende y Gana tem anúncios há 31,7 d.",E4 forte. Parte mistura trading.,fase1_meta_kits; fase1_hotmart_es,sim (E4),"É pacote PLR/MRR cujo valor é revender o próprio pacote. O ângulo é ganho e escassez, parte mistura trading, e a Hotmart proíbe produto repetido ou com revenda livre.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=derechos%20de%20reventa&search_type=keyword_unordered
L49,Planilha de orçamento e quitação de dívidas (pagamento único),Ferramenta / planilha,Dashboard de orçamento com método bola de neve e data prevista de quitação.,"US forte; ES: MX, PE, CO, CL, AR, BO",https://www.facebook.com/ads/library/?id=1804776104232069 | https://www.facebook.com/ads/library/?id=1713396137461636 | https://www.facebook.com/ads/library/?id=1099021122635303 | https://www.facebook.com/ads/library/?id=1416818590424154 | https://www.facebook.com/ads/library/?id=1604762814349721 | https://www.facebook.com/ads/library/?id=1583604520109903,"US$9 (US); ES US$3–12,90 (MXN 99)",29,"72,1 (US); ES 15,5",50,US 'budget planner spreadsheet' = 141; 'plantilla excel control de gastos' = 161; 'finanzas personales plantilla' = 88,ES chegando (nenhum player com mais de 30 d).,Ferramenta e alívio,"Ultimate Budget Planner tem 33 anúncios. ReadyExcels tem 50 ou mais. Na ES há ~15 páginas pequenas, várias em BRL.",Nenhuma forte. Fora do nicho 'renda extra'.,fase1_global,sim (E0),A planilha de orçamento e dívidas é de uso pessoal (o próprio Fase 1 marcou 'fora do nicho'). O gancho de dívida ainda esbarra na política da Meta de atributos pessoais ('¿estás endeudado?').,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=budget%20planner%20spreadsheet&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=plantilla%20excel%20control%20de%20gastos&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=finanzas%20personales%20plantilla&search_type=keyword_unordered
L50,Kit 'si me pasa algo' (pasta de emergência da família),Kit / organizador preenchível,"PDF preenchível e planilha com contas, apólices, senhas e contatos, em versões por país.","US, AU; ES sem player",https://www.facebook.com/ads/library/?id=1049421337473285 | https://www.facebook.com/ads/library/?id=1102450912441911 | https://www.facebook.com/ads/library/?id=1719777220150961 | https://www.facebook.com/ads/library/?id=2283720709047224,não verificado,1,"52,8",41,ES 'documentos importantes si fallezco familia' = 0,ES não chegou (outros termos não testados).,Medo e cuidado com a família,"The Estate Kit tem 41 anúncios, com ângulos emocionais fortes.",Risco jurídico. Fora do nicho.,fase1_global,sim (E0),"O organizador 'si me pasa algo' é para a própria família, de uso pessoal e sem ângulo de renda. Há ainda risco jurídico por versões de país, senhas e apólices.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=documentos%20importantes%20si%20fallezco%20familia&search_type=keyword_unordered
L51,Planilha de casamento com mapa de mesas digital,Ferramenta / evento,"Orçamento, convidados, cronograma e mapa de mesas por QR. Bump: convite digital.","US, AU, CA, IN; ES: PE",https://www.facebook.com/ads/library/?id=1292553966214596 | https://www.facebook.com/ads/library/?id=1236779481978530 | https://www.facebook.com/ads/library/?id=1058321287010574 | https://www.facebook.com/ads/library/?id=1635624554805448,não verificado,10,"15,1",11,'planificador de boda' ES10 = 11,ES não chegou.,Tempo poupado,"Nos EUA há ~8 páginas. Na ES só Mi Boda en Orden, com 1 anúncio.",Nenhuma. A variante 'sé wedding planner' cai em E2.,fase1_global,sim (E0),"O planejador de casamento é para o próprio casal. O único ângulo de renda ('sé wedding planner') é promessa de ganho (E2), então não é um ângulo duplo honesto.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=planificador%20de%20boda&search_type=keyword_unordered
L52,Estrela nomeada / mapa estelar em página interativa,Presente personalizado,"Certificado simbólico e mapa do céu da data, entregues como página animada e PDF.","US, IT; ES sem player",https://www.facebook.com/ads/library/?id=1091840433262853 | https://www.facebook.com/ads/library/?id=1049814401232568 | https://www.facebook.com/ads/library/?id=960233063104551 | https://www.facebook.com/ads/library/?id=1610872800544590,não verificado,2,"6,8",36,'nombre a una estrella' = 101.616 (ruído),ES não verificada.,Emoção,"Star Registration e Astrography somam ~231 anúncios, ambos com produto físico.",Risco de engano se não disser 'simbólico'.,fase1_global,sim (E0),"A estrela nomeada ou mapa estelar é presente B2C de uso próprio (mesmo DNA do Mimo, mas fora do escopo de renda extra). O 'registro de estrela' ainda tem risco de engano se não for dito como simbólico.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=nombre%20a%20una%20estrella&search_type=keyword_unordered
L53,Romance personalizado para a parceira ('ela é a protagonista'),Presente de casal,"Novela curta gerada com nomes e memórias do casal, em ebook ou flipbook.",US,https://www.facebook.com/ads/library/?id=2423070578217852 | https://www.facebook.com/ads/library/?id=1101958169032878 | https://www.facebook.com/ads/library/?id=1824630655370309,não verificado,2,"4,6",12,'libro personalizado de nuestra historia' = 21,ES não chegou.,Emoção,É emergente nos EUA: Fiktola tem 12 anúncios e Ember Books 2.,E5 moderada. Risco de conteúdo adulto.,fase1_global,sim (E0),"Presente de uso próprio: quem compra quer dar o romance à parceira, não revender nem prestar serviço, então fica fora do nicho renda extra. Anoto que E3 passaria: gerar a novela por LLM custa cerca de US$0,02–0,15 por pedido.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=libro%20personalizado%20de%20nuestra%20historia&search_type=keyword_unordered
